,num_features,LassoLarsCV,SVR,LightGBM
0,15,"[0.3502552778369692, 0.14575673150147794]","[0.354518792987053, 0.13734135282582313]","[0.2515009459008788, 0.15187163618744925]"
1,16,"[0.32203603970205397, 0.1443264677501054]","[0.35239196079606094, 0.13769104769138268]","[0.2515009459008788, 0.15187163618744925]"
2,17,"[0.3224164176625729, 0.14432686866923386]","[0.3386363706957428, 0.14798233578476697]","[0.2515009459008788, 0.15187163618744925]"
3,18,"[0.2849389946853227, 0.1399638013745771]","[0.34877933804922523, 0.14199144634430758]","[0.2605233048785952, 0.15092132131655553]"
4,19,"[0.2849281164110571, 0.14000110424074305]","[0.31931596183766653, 0.14591465988513677]","[0.2605233048785952, 0.15092132131655553]"
5,20,"[0.2893924045116739, 0.13950533293757028]","[0.3197381002972757, 0.14529024463503726]","[0.267199820782854, 0.14481354155908369]"
6,21,"[0.2893990364457921, 0.13950486031616768]","[0.322740337112839, 0.14723490412193788]","[0.267199820782854, 0.14481354155908369]"
7,22,"[0.29633132512893456, 0.13768932073835444]","[0.32958282161168884, 0.14500689803304093]","[0.2663446389569877, 0.14467817347268172]"
8,23,"[0.29633132512893456, 0.13768932073835446]","[0.32958282161168884, 0.14500689803304093]","[0.2663446389569877, 0.14467817347268172]"
9,24,"[0.31763862891941785, 0.14095342255954887]","[0.31442460795140137, 0.1473246327278293]","[0.2719537158578873, 0.14503407480214695]"
10,25,"[0.3176386289194183, 0.14095342255954882]","[0.31442460795140137, 0.1473246327278293]","[0.2719537158578873, 0.14503407480214695]"
11,26,"[0.3176386289194183, 0.14095342255954882]","[0.36836822804024405, 0.139312771442207]","[0.2769729960261754, 0.14723496539298725]"
12,27,"[0.3176386289194183, 0.14095342255954882]","[0.36800049671435664, 0.13967728853448802]","[0.2791061969746841, 0.14490305423993258]"
13,28,"[0.31763862891941785, 0.14095342255954887]","[0.3686977176156889, 0.13955606172777524]","[0.2791061969746841, 0.14490305423993258]"
14,29,"[0.3176386289194183, 0.14095342255954882]","[0.3686977176156889, 0.13955606172777524]","[0.2791061969746841, 0.14490305423993258]"
15,30,"[0.3176386289194183, 0.14095342255954882]","[0.3686977176156889, 0.13955606172777524]","[0.2791061969746841, 0.14490305423993258]"
16,31,"[0.3176386289194183, 0.14095342255954882]","[0.3686977176156889, 0.13955606172777524]","[0.2791061969746841, 0.14490305423993258]"
